Artist|Album|Title|Year
Lady Gaga|ARTPOP|Do What U Want|2013.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Always Remember Us This Way|2018.0
Lady Gaga|The Fame Monster|Bad Romance|2009.0
Lady Gaga|ARTPOP|Sexxx Dreams|2013.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|I’ll Never Love Again (Extended Version)|2018.0
Lady Gaga|The Fame|Poker Face|2008.0
Lady Gaga|Joanne|Million Reasons|2016.0
Lady Gaga|ARTPOP|G.U.Y.|2014.0
Lady Gaga|Chromatica|911|2020.0
Lady Gaga|Now That’s What I Call Music! 97 [UK]|The Cure|2017.0
Lady Gaga|Born This Way|Born This Way|2011.0
Lady Gaga|ARTPOP|Applause|2013.0
Lady Gaga|ARTPOP|Venus|2013.0
Lady Gaga|Joanne|Perfect Illusion|2016.0
Lady Gaga|ARTPOP|Donatella|2013.0
Lady Gaga|The Fame Monster|Telephone|2010.0
Lady Gaga|ARTPOP|Aura|2013.0
Lady Gaga|Chromatica|Babylon|2020.0
Lady Gaga|ARTPOP|Gypsy|2013.0
Lady Gaga|The Fame|Paparazzi|2009.0
Lady Gaga|Chromatica|Alice|2020.0
Lady Gaga|The Fame Monster|Alejandro|2010.0
Lady Gaga|Chromatica|Stupid Love|2020.0
Lady Gaga|Born This Way|Judas|2011.0
Lady Gaga|Joanne|John Wayne|2016.0
Lady Gaga|The Fame|Just Dance|2008.0
Lady Gaga|Chromatica|Free Woman|2020.0
Lady Gaga|A Star Is Born: Encore |Is That Alright?|2018.0
Lady Gaga|Chromatica|Replay|2020.0
Lady Gaga|ARTPOP|Mary Jane Holland|2013.0
Lady Gaga|Born This Way|Scheiße|2011.0
Lady Gaga|ARTPOP|Dope|2013.0
Lady Gaga|Chromatica|Fun Tonight|2020.0
Lady Gaga|Born This Way|Yoü and I|2011.0
Lady Gaga|ARTPOP|ARTPOP|2013.0
Lady Gaga|Joanne|Joanne|2016.0
Lady Gaga|ARTPOP|Swine|2013.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|I’ll Never Love Again (Film Version)|2018.0
Lady Gaga|ARTPOP|MANiCURE|2013.0
Lady Gaga|Chromatica|Enigma|2020.0
Lady Gaga|Chromatica|Plastic Doll|2020.0
Lady Gaga|The Fame|LoveGame|2009.0
Lady Gaga|Chromatica|1000 Doves|2020.0
Lady Gaga|ARTPOP|Jewels N’ Drugs|2013.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Look What I Found|2018.0
Lady Gaga|ARTPOP|Fashion!|2013.0
Lady Gaga|Artpop Act II (Scrapped)|Cake Like Lady Gaga|2012.0
Lady Gaga|Joanne|Diamond Heart|2016.0
Lady Gaga|The Fame Monster|Speechless|2009.0
Lady Gaga|Born This Way|Bloody Mary|2011.0
Lady Gaga|Joanne|A-YO|2016.0
Lady Gaga|Joanne|Hey Girl|2016.0
Lady Gaga|Joanne|Dancin’ in Circles|2016.0
Lady Gaga|Born This Way|Marry the Night|2011.0
Lady Gaga|The Fame Monster|Monster|2009.0
Lady Gaga|Born This Way|The Edge of Glory|2011.0
Lady Gaga|Joanne|Angel Down|2016.0
Lady Gaga|The Fame Monster|Dance in the Dark|2009.0
Lady Gaga|Joanne|Sinner’s Prayer|2016.0
Lady Gaga|Joanne|Grigio Girls|2016.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Why Did You Do That?|2018.0
Lady Gaga|Joanne|Just Another Day|2016.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Heal Me|2018.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|La Vie en Rose|2018.0
Lady Gaga|Chromatica (Target Exclusive/International Deluxe)|Love Me Right|2020.0
Lady Gaga|Born This Way|Americano|2011.0
Lady Gaga|The Fame Monster|So Happy I Could Die|2009.0
Lady Gaga|Joanne|Come to Mama|2016.0
Lady Gaga|Born This Way|Hair|2011.0
Lady Gaga||Til It Happens To You|2015.0
Lady Gaga|Chromatica|Chromatica I|2020.0
Lady Gaga|Born This Way|Heavy Metal Lover|2011.0
Lady Gaga|Born This Way|Government Hooker|2011.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Before I Cry|2018.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Hair Body Face|2018.0
Lady Gaga|The Fame Monster|Teeth|2009.0
Lady Gaga|The Fame|Boys Boys Boys|2008.0
Lady Gaga|The Fame|Eh, Eh (Nothing Else I Can Say)|2009.0
Lady Gaga||Marry The Night - ”The Prelude Pathétique”: Music Video Intro Speech|2011.0
Lady Gaga|The Fame|Paper Gangsta|2008.0
Lady Gaga|Born This Way|Bad Kids|2011.0
Lady Gaga|A Star is Born (Original Motion Picture Soundtrack)|Somewhere Over the Rainbow (Dialogue)|2018.0
Lady Gaga|Chromatica|Chromatica II|2020.0
Lady Gaga|The Fame|Brown Eyes|2008.0
Lady Gaga|Born This Way|Electric Chapel|2011.0
Lady Gaga|Artpop Act II (Scrapped)|I Wanna Be With U|2013.0
Lady Gaga|The Fame|The Fame|2008.0
Lady Gaga|Artpop Act II (Scrapped)|Princess Die|2012.0
Lady Gaga|Revamp: The Songs of Elton John & Bernie Taupin|Your Song|2018.0
